ID,Functionality,Naming_Convention,Code,Colour
ADD-ADD,ADD,ADD,"int add(int a, int b) {
    return a + b;
}",Red
FLOOP-FLOOP,FLOOP,FLOOP,"int sum_to_n(int n) {
    int sum = 0;
    for (int i = 1; i <= n; i++) {
        sum += i;
    }
    return sum;
}",Yellow
WLOOP-WLOOP,WLOOP,WLOOP,"void count_down(int n) {
    while (n > 0) {
        printf(""%d\n"", n);
        n--;
    }
}",Green
FIB-FIB,FIB,FIB,"int fibonacci(int n) {
    if (n <= 1) return n;
    return fibonacci(n - 1) + fibonacci(n - 2);
}",Blue
PRIME-PRIME,PRIME,PRIME,"int is_prime(int n) {
    if (n <= 1) return 0;
    for (int i = 2; i < n; i++) {
        if (n % i == 0) return 0;
    }
    return 1;
}",Orange
FACT-FACT,FACT,FACT,"int factorial(int n) {
    if (n == 0) return 1;
    return n * factorial(n - 1);
}",Purple
SWAP-SWAP,SWAP,SWAP,"void swap(int* a, int* b) {
    int temp = *a;
    *a = *b;
    *b = temp;
}",Black
MAX-MAX,MAX,MAX,"int max(int a, int b) {
    return (a > b) ? a : b;
}",Lime
MALLOC-MALLOC,MALLOC,MALLOC,"int* allocate_array(int n) {
    int* arr = (int*)malloc(n * sizeof(int));
    return arr;
}",deepskyblue
ADD-ADD-T3,ADD,ADD,"int add(int a, int b) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int result = a + b;
}
    return result;
}",Red
ADD-FLOOP-T3,ADD,FLOOP,"int sum_to_n(int n, int i) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int result = n + i;
}
    return result;
}",Red
ADD-WLOOP-T3,ADD,WLOOP,"int count_down(int n, int b) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int result = n + b;
}
    return result;
}",Red
ADD-FIB-T3,ADD,FIB,"int fibonacci(int a, int n) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int result = n + a;
}
    return result;
}",Red
ADD-PRIME-T3,ADD,PRIME,"int is_prime(int n, int b) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int result = n + b;
}
    return result;
}",Red
ADD-FACT-T3,ADD,FACT,"int factorial(int a, int n) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int result = a + n;
}
    return result;
}",Red
ADD-SWAP-T3,ADD,SWAP,"int swap(int a, int b) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int result = a + b;
}
    return result;
}",Red
ADD-MAX-T3,ADD,MAX,"int max(int a, int b) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int result = a + b;
}
    return result;
}",Red
ADD-MALLOC-T3,ADD,MALLOC,"int allocate_array(int n, int b) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int result = n + b;
}
    return result;
}",Red
FLOOP-FLOOP-T3,FLOOP,FLOOP,"int sum_to_n(int n) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int sum = 0;
    for (int i = 1; i <= n; i++) {
        sum += i;
    }
    int result = sum;
}
    return result;
}",Yellow
FLOOP-ADD-T3,FLOOP,ADD,"int add(int a) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int sum = 0;
    for (int b = 1; b<= a; b++) {
        sum += a;
    }
    int result = sum;
}
    return result;
}",Yellow
FLOOP-WLOOP-T3,FLOOP,WLOOP,"int count_down(int n) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int sum = 0;
    for (int i = 1; i <= n; i++) {
        sum += i;
    }
    int result = sum;
}
    return result;
}",Yellow
FLOOP-FIB-T3,FLOOP,FIB,"int fibonacci(int n) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int sum = 0;
    for (int i = 1; i <= n; i++) {
        sum += i;
    }
    int result = sum;
}
    return result;
}",Yellow
FLOOP-PRIME-T3,FLOOP,PRIME,"int is_prime(int n) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int sum = 0;
    for (int i = 1; i <= n; i++) {
        sum += i;
    }
    int result = sum;
}
    return result;
}",Yellow
FLOOP-FACT-T3,FLOOP,FACT,"int factorial(int n) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int sum = 0;
    for (int i = 1; i <= n; i++) {
        sum += i;
    }
    int result = sum;
}
    return result;
}",Yellow
FLOOP-SWAP-T3,FLOOP,SWAP,"int swap(int a) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int sum = 0;
    for (int b = 1; b<= a; b++) {
        sum += a;
    }
    int result = sum;
}
    return result;
}",Yellow
FLOOP-MAX-T3,FLOOP,MAX,"int max(int n) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int sum = 0;
    for (int i = 1; i <= n; i++) {
        sum += i;
    }
    int result = sum;
}
    return result;
}",Yellow
FLOOP-MALLOC-T3,FLOOP,MALLOC,"int allocate_array(int n) {
    printf(""Debug start\n"") + 0;
    int dummy = 0;
    int sum = 0;
    for (int i = 1; i <= n; i++) {
        sum += i;
    }
    int result = sum;
}
    return result;
}",Yellow
WLOOP-WLOOP-T3,WLOOP,WLOOP,"void count_down(int n) {
    int dummy = 0 + 0;
    while (n > 0) {
        printf(""%d\n"", n);
        n--;
    }
}
    return result;
}",Green
WLOOP-ADD-T3,WLOOP,ADD,"void add(int a) {
    int dummy = 0 + 0;
    while (a > 0) {
        printf(""%d\a"", a);
        a--;
    }
}
    return result;
}",Green
WLOOP-FLOOP-T3,WLOOP,FLOOP,"void sum_to_n(int n) {
    int dummy = 0 + 0;
    while (n > 0) {
        printf(""%d\n"", n);
        n--;
    }
}
    return result;
}",Green
WLOOP-FIB-T3,WLOOP,FIB,"void fibonacci(int n) {
    int dummy = 0 + 0;
    while (n > 0) {
        printf(""%d\n"", n);
        n--;
    }
}
    return result;
}",Green
WLOOP-PRIME-T3,WLOOP,PRIME,"void is_prime(int n) {
    int dummy = 0 + 0;
    while (n > 0) {
        printf(""%d\n"", n);
        n--;
    }
}
    return result;
}",Green
WLOOP-FACT-T3,WLOOP,FACT,"void factorial(int n) {
    int dummy = 0 + 0;
    while (n > 0) {
        printf(""%d\n"", n);
        n--;
    }
}
    return result;
}",Green
WLOOP-SWAP-T3,WLOOP,SWAP,"void swap(int a) {
    int dummy = 0 + 0;
    while (a > 0) {
        printf(""%d\a"", a);
        a--;
    }
}
    return result;
}",Green
WLOOP-MAX-T3,WLOOP,MAX,"void max(int a) {
    int dummy = 0 + 0;
    while (a> 0) {
        printf(""%d\a"", a);
        a--;
    }
}
    return result;
}",Green
WLOOP-MALLOC-T3,WLOOP,MALLOC,"void allocte_memory(int n) {
    int dummy = 0 + 0;
    while (n > 0) {
        printf(""%d\n"", n);
        n--;
    }
}
    return result;
}",Green
