ID,Functionality,Naming_Convention,Code,Colour
ADD-ADD,ADD,ADD,"int add(int a, int b) {
    return a + b;
}",Red
ADD-FLOOP,ADD,FLOOP,"int sum_to_n(int n, int i) {
    return n + i;
}",Red
ADD-WLOOP,ADD,WLOOP,"int count_down(int n, int b) {
    return n + b;
}",Red
ADD-FIB,ADD,FIB,"int fibonacci(int a, int n) {
    return n + a;
}",Red
ADD-PRIME,ADD,PRIME,"int is_prime(int n, int b) {
    return n + b;
}",Red
ADD-FACT,ADD,FACT,"int factorial(int a, int n) {
    return a + n;
}",Red
ADD-SWAP,ADD,SWAP,"int swap(int a, int b) {
    return a + b;
}",Red
ADD-MAX,ADD,MAX,"int max(int a, int b) {
    return a + b;
}",Red
ADD-MALLOC,ADD,MALLOC,"int allocate_array(int n, int b) {
    return n + b;
}",Red
FLOOP-FLOOP,FLOOP,FLOOP,"int sum_to_n(int n) {
    int sum = 0;
    for (int i = 1; i <= n; i++) {
        sum += i;
    }
    return sum;
}",Yellow
FLOOP-ADD,FLOOP,ADD,"int add(int a) {
    int sum = 0;
    for (int b = 1; b<= a; b++) {
        sum += a;
    }
    return sum;
}",Yellow
FLOOP-WLOOP,FLOOP,WLOOP,"int count_down(int n) {
    int sum = 0;
    for (int i = 1; i <= n; i++) {
        sum += i;
    }
    return sum;
}",Yellow
FLOOP-FIB,FLOOP,FIB,"int fibonacci(int n) {
    int sum = 0;
    for (int i = 1; i <= n; i++) {
        sum += i;
    }
    return sum;
}",Yellow
FLOOP-PRIME,FLOOP,PRIME,"int is_prime(int n) {
    int sum = 0;
    for (int i = 1; i <= n; i++) {
        sum += i;
    }
    return sum;
}",Yellow
FLOOP-FACT,FLOOP,FACT,"int factorial(int n) {
    int sum = 0;
    for (int i = 1; i <= n; i++) {
        sum += i;
    }
    return sum;
}",Yellow
FLOOP-SWAP,FLOOP,SWAP,"int swap(int a) {
    int sum = 0;
    for (int b = 1; b<= a; b++) {
        sum += a;
    }
    return sum;
}",Yellow
FLOOP-MAX,FLOOP,MAX,"int max(int n) {
    int sum = 0;
    for (int i = 1; i <= n; i++) {
        sum += i;
    }
    return sum;
}",Yellow
FLOOP-MALLOC,FLOOP,MALLOC,"int allocate_array(int n) {
    int sum = 0;
    for (int i = 1; i <= n; i++) {
        sum += i;
    }
    return sum;
}",Yellow
WLOOP-WLOOP,WLOOP,WLOOP,"void count_down(int n) {
    while (n > 0) {
        printf(""%d\n"", n);
        n--;
    }
}",Green
WLOOP-ADD,WLOOP,ADD,"void add(int a) {
    while (a > 0) {
        printf(""%d\a"", a);
        a--;
    }
}",Green
