username,task,file,flines,solution,classification
blackperl,567116,source_A.cpp,"#pragma warning(disable:4018)  // signed/unsigned mistatch
 #pragma warning(disable:4244)  // w64 to int cast
 #pragma warning(disable:4267)  // big to small -- possible loss of data
 #pragma warning(disable:4786)  // long identifiers
 #pragma warning(disable:4800)  // forcing int to bool
 #pragma warning(disable:4996)  // deprecations
 #include ""assert.h""
 #include ""ctype.h""
 #include ""float.h""
 #include ""math.h""
 #include ""stdio.h""
 #include ""string.h""
 #include ""stdlib.h""
 #include ""stdarg.h""
 #include ""time.h""
 #include ""algorithm""
 #include ""numeric""
 #include ""functional""
 #include ""utility""
 #include ""bitset""
 #include ""vector""
 #include ""list""
 #include ""set""
 #include ""map""
 #include ""queue""
 #include ""stack""
 #include ""string""
 #include ""sstream""
 #include ""iostream""
 using namespace std;
 
 typedef long long i64;
 #define all(v) (v).begin(), (v).end()
 typedef long long i64;
 template <class T> void make_unique(T& v) {sort(all(v)); v.resize(unique(all(v)) - v.begin());}
 using namespace std;
 
 char grid1[100][100];
 char grid2[100][100];
 
 void rotate(int n){
 	for(int i=0; i<n; ++i){
 		for(int j=0; j<n; ++j){
 			grid2[j][n-1-i] = grid1[i][j];
 		}
 	}
 	//gravity
 	for(int j=0; j<n; ++j){
 		string x;
 		for(int i=n-1; i>=0; --i)
 			if(grid2[i][j]!='.')x+=grid2[i][j];
 		for(int i=n-1, k=0, m=x.size(); k<m && i>=0; --i, ++k)
 			grid2[i][j] = x[k];
 		for(int i=n-1-x.size(); i>=0; --i)
 			grid2[i][j] = '.';
 	}
 }
 bool f(char c, int n, int k){
 	for(int i=0; i<n; ++i){
 		for(int j=0; j<n; ++j){
 			if(grid2[i][j]!=c)continue;
 			int x = 0;
 			for(int w=i-1; w>=0 && w>=i-(k-1); --w)
 				if(grid2[w][j]==c)++x;
 			if(x==k-1)return true;
 			x = 0;
 			for(int w=i+1; w<n && w<=i+(k-1); ++w)
 				if(grid2[w][j]==c)++x;
 			if(x==k-1)return true;
 			x=0;
 			for(int w=j-1; w>=0 && w>=j-(k-1); --w)
 				if(grid2[i][w]==c)++x;
 			if(x==k-1)return true;
 			x = 0;
 			for(int w=j+1; w<n && w<=j+(k-1); ++w)
 				if(grid2[i][w]==c)++x;
 			if(x==k-1)return true;
 			x=0;
 			for(int w=1; w<k && i-w >=0 && j-w >=0; ++w)
 				if(grid2[i-w][j-w]==c)++x;
 			if(x==k-1)return true;
 			x=0;
 			for(int w=1; w<k && i-w >=0 && j+w <n; ++w)
 				if(grid2[i-w][j+w]==c)++x;
 			if(x==k-1)return true;
 			x=0;
 			for(int w=1; w<k && i+w <n && j-w >=0; ++w)
 				if(grid2[i+w][j-w]==c)++x;
 			if(x==k-1)return true;
 			x=0;
 			for(int w=1; w<k && i+w <n && j+w <n; ++w)
 				if(grid2[i+w][j+w]==c)++x;
 			if(x==k-1)return true;
 		}
 	}
 	return false;
 }
 void print(int n){
 	for(int i=0; i<n; ++i){
 		printf(""%s\n"",grid2[i]);
 	}
 }
 int main(){
 	freopen(""data2.in"",""r"",stdin);
 	freopen(""data.out"",""w"",stdout);
 	int T; scanf(""%d"", &T);
 	for(int t=1; t<=T; ++t){
 		int n,k; scanf(""%d %d"", &n, &k);
 		for(int i=0; i<n; ++i)
 			scanf(""%s"",grid1[i]);
 		rotate(n);
 		bool red = f('R',n,k);
 		bool blue = f('B',n,k);
 		printf(""Case #%d: "", t);
 		//print(n);
 		if(red && blue)printf(""Both\n"");
 		else if(red && !blue)printf(""Red\n"");
 		else if(!red && blue)printf(""Blue\n"");
 		else printf(""Neither\n"");
 	}
 	return 0;
 }",1,"[{'label': 'LABEL_0', 'score': 0.6458340287208557}]"
blackperl,567116,source_A.cpp,"#pragma warning(disable:4018)  // signed/unsigned mistatch
 #pragma warning(disable:4244)  // w64 to int cast
 #pragma warning(disable:4267)  // big to small -- possible loss of data
 #pragma warning(disable:4786)  // long identifiers
 #pragma warning(disable:4800)  // forcing int to bool
 #pragma warning(disable:4996)  // deprecations
 #include ""assert.h""
 #include ""ctype.h""
 #include ""float.h""
 #include ""math.h""
 #include ""stdio.h""
 #include ""string.h""
 #include ""stdlib.h""
 #include ""stdarg.h""
 #include ""time.h""
 #include ""algorithm""
 #include ""numeric""
 #include ""functional""
 #include ""utility""
 #include ""bitset""
 #include ""vector""
 #include ""list""
 #include ""set""
 #include ""map""
 #include ""queue""
 #include ""stack""
 #include ""string""
 #include ""sstream""
 #include ""iostream""
 using namespace std;
 
 typedef long long i64;
 #define all(v) (v).begin(), (v).end()
 typedef long long i64;
 template <class T> void make_unique(T& v) {sort(all(v)); v.resize(unique(all(v)) - v.begin());}
 using namespace std;
 
 char grid1[100][100];
 char grid2[100][100];
 
 void rotate(int n){
 	for(int i=0; i<n; ++i){
 		for(int j=0; j<n; ++j){
 			grid2[j][n-1-i] = grid1[i][j];
 		}
 	}
 	//gravity
 	for(int j=0; j<n; ++j){
 		string x;
 		for(int i=n-1; i>=0; --i)
 			if(grid2[i][j]!='.')x+=grid2[i][j];
 		for(int i=n-1, k=0, m=x.size(); k<m && i>=0; --i, ++k)
 			grid2[i][j] = x[k];
 		for(int i=n-1-x.size(); i>=0; --i)
 			grid2[i][j] = '.';
 	}
 }
 bool f(char c, int n, int k){
 	for(int i=0; i<n; ++i){
 		for(int j=0; j<n; ++j){
 			if(grid2[i][j]!=c)continue;
 			int x = 0;
 			for(int w=i-1; w>=0 && w>=i-(k-1); --w)
 				if(grid2[w][j]==c)++x;
 			if(x==k-1)return true;
 			x = 0;
 			for(int w=i+1; w<n && w<=i+(k-1); ++w)
 				if(grid2[w][j]==c)++x;
 			if(x==k-1)return true;
 			x=0;
 			for(int w=j-1; w>=0 && w>=j-(k-1); --w)
 				if(grid2[i][w]==c)++x;
 			if(x==k-1)return true;
 			x = 0;
 			for(int w=j+1; w<n && w<=j+(k-1); ++w)
 				if(grid2[i][w]==c)++x;
 			if(x==k-1)return true;
 			x=0;
 			for(int w=1; w<k && i-w >=0 && j-w >=0; ++w)
 				if(grid2[i-w][j-w]==c)++x;
 			if(x==k-1)return true;
 			x=0;
 			for(int w=1; w<k && i-w >=0 && j+w <n; ++w)
 				if(grid2[i-w][j+w]==c)++x;
 			if(x==k-1)return true;
 			x=0;
 			for(int w=1; w<k && i+w <n && j-w >=0; ++w)
 				if(grid2[i+w][j-w]==c)++x;
 			if(x==k-1)return true;
 			x=0;
 			for(int w=1; w<k && i+w <n && j+w <n; ++w)
 				if(grid2[i+w][j+w]==c)++x;
 			if(x==k-1)return true;
 		}
 	}
 	return false;
 }
 void print(int n){
 	for(int i=0; i<n; ++i){
 		printf(""%s\n"",grid2[i]);
 	}
 }
 int main(){
 	freopen(""data1.in"",""r"",stdin);
 	freopen(""data.out"",""w"",stdout);
 	int T; scanf(""%d"", &T);
 	for(int t=1; t<=T; ++t){
 		int n,k; scanf(""%d %d"", &n, &k);
 		for(int i=0; i<n; ++i)
 			scanf(""%s"",grid1[i]);
 		rotate(n);
 		bool red = f('R',n,k);
 		bool blue = f('B',n,k);
 		printf(""Case #%d: "", t);
 		//print(n);
 		if(red && blue)printf(""Both\n"");
 		else if(red && !blue)printf(""Red\n"");
 		else if(!red && blue)printf(""Blue\n"");
 		else printf(""Neither\n"");
 	}
 	return 0;
 }",0,"[{'label': 'LABEL_0', 'score': 0.6458340287208557}]"
Yiwei.Chen,567116,A.cpp,"#include <cstdio>
 
 int T, N, K;
 char map[100][100];
 int isB, isR;
 
 void rotate() {
     int i, j, k, c;
     for (i = 0; i < N; i++) {
         for (j = N - 1; j >= 0; j--) {
             c = N + 1;
             while (map[i][j] == '.' && c > 0) {
                 for (k = j; k > 0; k--) map[i][k] = map[i][k - 1];
                 map[i][0] = '.';
                 c--;
             }
         }
     }
 }
 
 void check(char x) {
     int i, j, count;
     for (i = 0; i < N; i++) {
         count = 0;
         for (j = 0; j < N; j++) {
             if (map[i][j] == x) count++;
             else count = 0;
             if (count >= K) {
                 if (x == 'B') isB = 1;
                 else isR = 1;
                 return;
             }
         }
     }
     for (j = 0; j < N; j++) {
         count = 0;
         for (i = 0; i < N; i++) {
             if (map[i][j] == x) count++;
             else count = 0;
             if (count >= K) {
                 if (x == 'B') isB = 1;
                 else isR = 1;
                 return;
             }
         }
     }
     for (i = 0; i < N; i++) {
         count = 0;
         for (j = 0; j < N; j++) {
             if (i + j >= N) break;
             if (map[i + j][j] == x) count++;
             else count = 0;
             if (count >= K) {
                 if (x == 'B') isB = 1;
                 else isR = 1;
                 return;
             }
         }
     }
     for (j = 0; j < N; j++) {
         count = 0;
         for (i = 0; i < N; i++) {
             if (i + j >= N) break;
             if (map[i][i + j] == x) count++;
             else count = 0;
             if (count >= K) {
                 if (x == 'B') isB = 1;
                 else isR = 1;
                 return;
             }
         }
     }
     for (i = 0; i < N; i++) {
         count = 0;
         for (j = 0; j < N; j++) {
             if (i + j >= N) break;
             if (map[i + j][N - j] == x) count++;
             else count = 0;
             if (count >= K) {
                 if (x == 'B') isB = 1;
                 else isR = 1;
                 return;
             }
         }
     }
     for (j = 0; j < N; j++) {
         count = 0;
         for (i = 0; i < N; i++) {
             if (j - i < 0) break;
             if (map[i][j - i] == x) count++;
             else count = 0;
             if (count >= K) {
                 if (x == 'B') isB = 1;
                 else isR = 1;
                 return;
             }
         }
     }
 }
 
 int main() {
     freopen(""A-large.in"", ""r"", stdin);
     freopen(""A-out.txt"", ""w"", stdout);
     int tc;
     int i;
     scanf(""%d"", &T);
     for (tc = 1; tc <= T; tc++) {
         scanf(""%d%d"", &N, &K);
         for (i = 0; i < N; i++) scanf(""%s"", map[i]);
         rotate();
         isB = isR = 0;
         check('B');
         check('R');
         printf(""Case #%d: "", tc);
         if (isB && isR) printf(""Both\n"");
         else if (isB) printf(""Blue\n"");
         else if (isR) printf(""Red\n"");
         else printf(""Neither\n"");
     }
     return 0;
 }
",1,"[{'label': 'LABEL_0', 'score': 0.6458340287208557}]"
Yiwei.Chen,567116,A.cpp,"#include <cstdio>
 
 int T, N, K;
 char map[100][100];
 int isB, isR;
 
 void rotate() {
     int i, j, k, c;
     for (i = 0; i < N; i++) {
         for (j = N - 1; j >= 0; j--) {
             c = N + 1;
             while (map[i][j] == '.' && c > 0) {
                 for (k = j; k > 0; k--) map[i][k] = map[i][k - 1];
                 map[i][0] = '.';
                 c--;
             }
         }
     }
 }
 
 void check(char x) {
     int i, j, count;
     for (i = 0; i < N; i++) {
         count = 0;
         for (j = 0; j < N; j++) {
             if (map[i][j] == x) count++;
             else count = 0;
             if (count >= K) {
                 if (x == 'B') isB = 1;
                 else isR = 1;
                 return;
             }
         }
     }
     for (j = 0; j < N; j++) {
         count = 0;
         for (i = 0; i < N; i++) {
             if (map[i][j] == x) count++;
             else count = 0;
             if (count >= K) {
                 if (x == 'B') isB = 1;
                 else isR = 1;
                 return;
             }
         }
     }
     for (i = 0; i < N; i++) {
         count = 0;
         for (j = 0; j < N; j++) {
             if (i + j >= N) break;
             if (map[i + j][j] == x) count++;
             else count = 0;
             if (count >= K) {
                 if (x == 'B') isB = 1;
                 else isR = 1;
                 return;
             }
         }
     }
     for (j = 0; j < N; j++) {
         count = 0;
         for (i = 0; i < N; i++) {
             if (i + j >= N) break;
             if (map[i][i + j] == x) count++;
             else count = 0;
             if (count >= K) {
                 if (x == 'B') isB = 1;
                 else isR = 1;
                 return;
             }
         }
     }
     for (i = 0; i < N; i++) {
         count = 0;
         for (j = 0; j < N; j++) {
             if (i + j >= N) break;
             if (map[i + j][N - j] == x) count++;
             else count = 0;
             if (count >= K) {
                 if (x == 'B') isB = 1;
                 else isR = 1;
                 return;
             }
         }
     }
     for (j = 0; j < N; j++) {
         count = 0;
         for (i = 0; i < N; i++) {
             if (j - i < 0) break;
             if (map[i][j - i] == x) count++;
             else count = 0;
             if (count >= K) {
                 if (x == 'B') isB = 1;
                 else isR = 1;
                 return;
             }
         }
     }
 }
 
 int main() {
     freopen(""A-small-attempt3.in"", ""r"", stdin);
     freopen(""A-out.txt"", ""w"", stdout);
     int tc;
     int i;
     scanf(""%d"", &T);
     for (tc = 1; tc <= T; tc++) {
         scanf(""%d%d"", &N, &K);
         for (i = 0; i < N; i++) scanf(""%s"", map[i]);
         rotate();
         isB = isR = 0;
         check('B');
         check('R');
         printf(""Case #%d: "", tc);
         if (isB && isR) printf(""Both\n"");
         else if (isB) printf(""Blue\n"");
         else if (isR) printf(""Red\n"");
         else printf(""Neither\n"");
     }
     return 0;
 }
",0,"[{'label': 'LABEL_0', 'score': 0.6458340287208557}]"
Yiwei.Chen,583114,C.cpp,"#include <cstdio>
 
 int T, A1, A2, B1, B2;
 
 int check(int a, int b) {
     if (a == b) return -1;
     if (a % b == 0 || b % a == 0) return 1;
     int x, y;
     if (a > b) {
         if (a > 2 * b) {
             x = check(a % b, b);
             y = check(a % b + b, b);
             if (x == -1 || y == -1) return 1;
             else return -1;
         } else return -check(a % b, b);
     } else {
         if (b > 2 * a) {
             x = check(a, b % a);
             y = check(a, b % a + a);
             if (x == -1 || y == -1) return 1;
             else return -1;
         } else return -check(a, b % a);
     }
 }
 
 int main() {
     freopen(""C-small-attempt0.in"", ""r"", stdin);
     freopen(""C-out.txt"", ""w"", stdout);
     int tc, i, j, count;
     scanf(""%d"", &T);
     for (tc = 1; tc <= T; tc++) {
         scanf(""%d%d%d%d"", &A1, &A2, &B1, &B2);
         count = 0;
         for (i = A1; i <= A2; i++)
             for (j = B1; j <= B2; j++) {
                 if (check(i, j) == 1) count++;
             }
         printf(""Case #%d: %d\n"", tc, count);
     }
     return 0;
 }
",0,"[{'label': 'LABEL_0', 'score': 0.6458340287208557}]"
Descent,567116,a.cpp,"#include <cstdio>
 #include <algorithm>
 using namespace std;
 
 int c,n,m,R,B,e,t,x,y;
 char s[55],S[55][55];
 
 int main(){
 	scanf(""%d"",&c);
 	for (int tc=1;tc<=c;tc++){
 		scanf(""%d%d"",&n,&m);
  		memset(S,'.',sizeof(S));
 		for (int i=0;i<n;i++){
 			scanf(""%s"",s);
 			t=n;
 			for (int j=n-1;j>=0;j--)
 				if (s[j]!='.') S[--t][n-i-1]=s[j];
 		}
 		R=B=0;
 		for (int i=0;i<n;i++){
 			for (int j=0;j<n;j++){
 				if (S[i][j]=='.') continue;
 				e=0;
 				x=i;
 				y=j;
 				for (int k=0;k<m;k++){
 					if (x>=n||y>=n) break;
 					if (S[x][y]!=S[i][j]) break;
 					if (k==m-1) e=1;
     				x++;
 				}
 				x=i;
 				y=j;
 				for (int k=0;k<m;k++){
 					if (x>=n||y>=n) break;
 					if (S[x][y]!=S[i][j]) break;
 					if (k==m-1) e=1;
     				y++;
 				}
 				x=i;
 				y=j;
 				for (int k=0;k<m;k++){
 					if (x>=n||y>=n) break;
 					if (S[x][y]!=S[i][j]) break;
 					if (k==m-1) e=1;
     				x++,y++;
 				}
 				x=i;
 				y=j;
 				for (int k=0;k<m;k++){
 					if (x<0||y>=n) break;
 					if (S[x][y]!=S[i][j]) break;
 					if (k==m-1) e=1;
    					x--,y++;
 				}
 				if (e){
 					if (S[i][j]=='R') R=1;
 					else B=1;
 				}
 			}
 		}
 		if (!R&&!B) printf(""Case #%d: Neither\n"",tc);
 		if (!R&&B) printf(""Case #%d: Blue\n"",tc);
  		if (R&&!B) printf(""Case #%d: Red\n"",tc);
   		if (R&&B) printf(""Case #%d: Both\n"",tc);
 
 	}
 	return 0;
 }
",1,"[{'label': 'LABEL_0', 'score': 0.6458340287208557}]"
Descent,567116,a.cpp,"#include <cstdio>
 #include <algorithm>
 using namespace std;
 
 int c,n,m,R,B,e,t,x,y;
 char s[55],S[55][55];
 
 int main(){
 	scanf(""%d"",&c);
 	for (int tc=1;tc<=c;tc++){
 		scanf(""%d%d"",&n,&m);
  		memset(S,'.',sizeof(S));
 		for (int i=0;i<n;i++){
 			scanf(""%s"",s);
 			t=n;
 			for (int j=n-1;j>=0;j--)
 				if (s[j]!='.') S[--t][n-i-1]=s[j];
 		}
 		R=B=0;
 		for (int i=0;i<n;i++){
 			for (int j=0;j<n;j++){
 				if (S[i][j]=='.') continue;
 				e=0;
 				x=i;
 				y=j;
 				for (int k=0;k<m;k++){
 					if (x>=n||y>=n) break;
 					if (S[x][y]!=S[i][j]) break;
 					if (k==m-1) e=1;
     				x++;
 				}
 				x=i;
 				y=j;
 				for (int k=0;k<m;k++){
 					if (x>=n||y>=n) break;
 					if (S[x][y]!=S[i][j]) break;
 					if (k==m-1) e=1;
     				y++;
 				}
 				x=i;
 				y=j;
 				for (int k=0;k<m;k++){
 					if (x>=n||y>=n) break;
 					if (S[x][y]!=S[i][j]) break;
 					if (k==m-1) e=1;
     				x++,y++;
 				}
 				x=i;
 				y=j;
 				for (int k=0;k<m;k++){
 					if (x<0||y>=n) break;
 					if (S[x][y]!=S[i][j]) break;
 					if (k==m-1) e=1;
    					x--,y++;
 				}
 				if (e){
 					if (S[i][j]=='R') R=1;
 					else B=1;
 				}
 			}
 		}
 		if (!R&&!B) printf(""Case #%d: Neither\n"",tc);
 		if (!R&&B) printf(""Case #%d: Blue\n"",tc);
  		if (R&&!B) printf(""Case #%d: Red\n"",tc);
   		if (R&&B) printf(""Case #%d: Both\n"",tc);
 
 	}
 	return 0;
 }
",0,"[{'label': 'LABEL_0', 'score': 0.6458340287208557}]"
Descent,583114,c.cpp,"#include <cstdio>
 #include <algorithm>
 #define LLD long long int
 #define N 1000000
 using namespace std;
 
 int c,x1,x2,y1,y2,w,z;
 int x[1000005],y[1000005];
 int b[1000005];
 long long int AC;
 
 void add(int x,int y){
 	if (y>=N) y=N;
 	for (int i=y;i>0;i-=i&-i) b[i]++;
 	for (int i=x-1;i>0;i-=i&-i) b[i]--;
 }
 
 int query(int x){
 	int R=0;
 	for (int i=x;i<=N;i+=i&-i) R+=b[i];
 	return R;
 }
 
 int main(){
 	x[1]=1;
 	add(1,1);
 	for (int i=2;i<=N;i++){
 		if (query(x[i-1])==x[i-1]) x[i]=x[i-1]+1;
 		else x[i]=x[i-1];
 		add(x[i],x[i]+i-1);
 	}
 	for (int i=1;i<=N;i++) y[i]=x[i]+i-1;
 
 	scanf(""%d"",&c);
 	for (int tc=1;tc<=c;tc++){
 		scanf(""%d%d%d%d"",&x1,&x2,&y1,&y2);
 		AC=0;
 		for (int i=x1;i<=x2;i++){
 			w=max(y1,x[i]);
 			z=min(y2,y[i]);
 			if (z>=w) AC+=z-w+1;
 		}
 		printf(""Case #%d: %I64d\n"",tc,(LLD)(x2-x1+1)*(LLD)(y2-y1+1)-AC);
 	}
 
 	return 0;
 }
",1,"[{'label': 'LABEL_0', 'score': 0.6458340287208557}]"
Descent,583114,c.cpp,"#include <cstdio>
 #include <algorithm>
 #define LLD long long int
 #define N 1000000
 using namespace std;
 
 int c,x1,x2,y1,y2,w,z;
 int x[1000005],y[1000005];
 int b[1000005];
 long long int AC;
 
 void add(int x,int y){
 	if (y>=N) y=N;
 	for (int i=y;i>0;i-=i&-i) b[i]++;
 	for (int i=x-1;i>0;i-=i&-i) b[i]--;
 }
 
 int query(int x){
 	int R=0;
 	for (int i=x;i<=N;i+=i&-i) R+=b[i];
 	return R;
 }
 
 int main(){
 	x[1]=1;
 	add(1,1);
 	for (int i=2;i<=N;i++){
 		if (query(x[i-1])==x[i-1]) x[i]=x[i-1]+1;
 		else x[i]=x[i-1];
 		add(x[i],x[i]+i-1);
 	}
 	for (int i=1;i<=N;i++) y[i]=x[i]+i-1;
 
 	scanf(""%d"",&c);
 	for (int tc=1;tc<=c;tc++){
 		scanf(""%d%d%d%d"",&x1,&x2,&y1,&y2);
 		AC=0;
 		for (int i=x1;i<=x2;i++){
 			w=max(y1,x[i]);
 			z=min(y2,y[i]);
 			if (z>=w) AC+=z-w+1;
 		}
 		printf(""Case #%d: %I64d\n"",tc,(LLD)(x2-x1+1)*(LLD)(y2-y1+1)-AC);
 	}
 
 	return 0;
 }
",0,"[{'label': 'LABEL_0', 'score': 0.6458340287208557}]"
Descent,566101,b.cpp,"#include <cstdio>
 #include <algorithm>
 using namespace std;
 
 int a,b,c,n,m,p[105],T[260],dp[105][260],AC;
 
 int main(){
 	scanf(""%d"",&c);
 	for (int tc=1;tc<=c;tc++){
 		scanf(""%d%d%d%d"",&a,&b,&m,&n);
 		for (int i=1;i<=n;i++) scanf(""%d"",&p[i]);
 		for (int i=0;i<=255;i++) dp[0][i]=0;
 		for (int i=1;i<=n;i++){
 //delete
 			for (int j=0;j<=255;j++) dp[i][j]=dp[i-1][j]+a;
 //change
 			for (int j=0;j<=255;j++){
 				for (int k=0;k<=255;k++)
 					if (abs(k-j)<=m) dp[i][j]=min(dp[i][j],dp[i-1][k]+abs(p[i]-j));
 			}
 //insert
 			if (!m) continue;
 			for (int j=0;j<=255;j++) T[j]=dp[i][j];
 			for (int j=0;j<=255;j++){
 				for (int k=0;k<=255;k++) dp[i][k]=min(dp[i][k],T[j]+b*((abs(k-j)+m-1)/m));
 			}
 		}
 		AC=-1;
 		for (int i=0;i<=255;i++)
 			if (AC==-1||dp[n][i]<AC) AC=dp[n][i];
 		printf(""Case #%d: %d\n"",tc,AC);
 	}
 	return 0;
 }
",1,"[{'label': 'LABEL_0', 'score': 0.6458340287208557}]"
